IdSubLanguage,ISO639,LanguageName,UploadEnabled,Preselected
afr,af,Afrikaans,1,0
alb,sq,Albanian,1,0
ara,ar,Arabic,1,0
arg,an,Aragonese,1,0
arm,hy,Armenian,1,0
ast,at,Asturian,1,0
aze,az,Azerbaijani,1,0
baq,eu,Basque,1,0
bel,be,Belarusian,1,0
ben,bn,Bengali,1,0
bos,bs,Bosnian,1,0
bre,br,Breton,1,0
bul,bg,Bulgarian,1,0
bur,my,Burmese,1,0
cat,ca,Catalan,1,0
chi,zh,Chinese (simplified),1,0
cze,cs,Czech,1,0
dan,da,Danish,1,0
dut,nl,Dutch,1,0
eng,en,English,1,1
epo,eo,Esperanto,1,0
est,et,Estonian,1,0
fin,fi,Finnish,1,0
fre,fr,French,1,0
geo,ka,Georgian,1,0
ger,de,German,1,0
gla,gd,Gaelic,1,0
gle,ga,Irish,1,0
glg,gl,Galician,1,0
ell,el,Greek,1,0
heb,he,Hebrew,1,0
hin,hi,Hindi,1,0
hrv,hr,Croatian,1,0
hun,hu,Hungarian,1,0
ice,is,Icelandic,1,0
ind,id,Indonesian,1,0
ita,it,Italian,1,0
jpn,ja,Japanese,1,0
kan,kn,Kannada,1,0
kaz,kk,Kazakh,1,0
khm,km,Khmer,1,0
kor,ko,Korean,1,0
kur,ku,Kurdish,1,0
lav,lv,Latvian,1,0
lit,lt,Lithuanian,1,0
ltz,lb,Luxembourgish,1,0
mac,mk,Macedonian,1,0
mal,ml,Malayalam,1,0
may,ms,Malay,1,0
mni,ma,Manipuri,1,0
mon,mn,Mongolian,1,0
nor,no,Norwegian,1,0
oci,oc,Occitan,1,0
per,fa,Persian,1,0
pol,pl,Polish,1,0
por,pt,Portuguese,1,0
rus,ru,Russian,1,0
scc,sr,Serbian,1,0
sin,si,Sinhalese,1,0
slo,sk,Slovak,1,0
slv,sl,Slovenian,1,0
sme,se,Northern Sami,1,0
snd,sd,Sindhi,1,0
spa,es,Spanish,1,1
swa,sw,Swahili,1,0
swe,sv,Swedish,1,0
syr,sy,Syriac,1,0
tam,ta,Tamil,1,0
tat,tt,Tatar,1,0
tel,te,Telugu,1,0
tgl,tl,Tagalog,1,0
tha,th,Thai,1,0
tur,tr,Turkish,1,0
ukr,uk,Ukrainian,1,0
urd,ur,Urdu,1,0
vie,vi,Vietnamese,1,0
rum,ro,Romanian,1,0
pob,pb,Portuguese (BR),1,0
mne,me,Montenegrin,1,0
zht,zt,Chinese (traditional),1,0
zhe,ze,Chinese bilingual,1,0
pom,pm,Portuguese (MZ),1,0
ext,ex,Extremaduran,1,0
